strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
46500,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026CE46500.00,0,0,0.0,0,0.0,0.0,0.0,1710,1710,6187.05,570,9095.6,570,53451,,0.0,CE,26-May-2026
46500,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE46500.00,0,0,0.0,0,0.0,0.0,0.0,4560,0,1.85,930,0.0,0,53451,,0.0,PE,26-May-2026
47000,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026CE47000.00,0,0,0.0,0,0.0,0.0,0.0,1710,1710,5922.95,570,8588.55,570,53451,,0.0,CE,26-May-2026
47000,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE47000.00,0,0,0.0,0,0.0,0.0,0.0,5520,0,64.8,600,0.0,0,53451,,0.0,PE,26-May-2026
47500,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026CE47500.00,12,0,0.0,0,0.0,7853.05,0.0,1710,1710,5148.7,570,8276.1,570,53451,,0.0,CE,26-May-2026
47500,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE47500.00,0,0,0.0,0,0.0,0.0,0.0,5670,0,1.05,4500,0.0,0,53451,,0.0,PE,26-May-2026
48000,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026CE48000.00,0,0,0.0,0,0.0,0.0,0.0,540,1710,5191.6,540,7747.25,570,53451,,0.0,CE,26-May-2026
48000,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE48000.00,0,0,0.0,0,0.0,0.0,0.0,5160,0,126.5,600,0.0,0,53451,,0.0,PE,26-May-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,26-May-2026
48100,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE48100.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,26-May-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,26-May-2026
48200,26-05-2026,BANKNIFTY,OPTIDXBANKNIFTY26-05-2026PE48200.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,26-May-2026
