strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
46500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE46500.00,27,9,50.0,11,25.45,7519.95,-916.4,2340,1710,7120.2,30,8786.6,570,53451,,-10.862517557948639,CE,28-Apr-2026
46500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE46500.00,0,0,0.0,0,0.0,0.0,0.0,52230,0,20.8,39090,0.0,0,53451,,0.0,PE,28-Apr-2026
47000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE47000.00,146,62,73.80952380952381,89,29.63,7133.6,-1666.4,2670,1800,7125.05,180,7499.95,30,53451,,-18.936363636363637,CE,28-Apr-2026
47000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE47000.00,0,0,0.0,0,0.0,0.0,0.0,22320,0,27.5,16500,0.0,0,53451,,0.0,PE,28-Apr-2026
47500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE47500.00,20,0,0.0,0,0.0,6800.0,0.0,2310,1710,5538.35,570,7812.2,570,53451,,0.0,CE,28-Apr-2026
47500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE47500.00,0,0,0.0,0,0.0,0.0,0.0,19860,0,28.85,13500,0.0,0,53451,,0.0,PE,28-Apr-2026
48000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE48000.00,70,0,0.0,5,36.51,6500.0,-1075.0,2310,1710,4308.3,570,7278.8,570,53451,,-14.191419141914192,CE,28-Apr-2026
48000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48000.00,0,0,0.0,0,0.0,0.0,0.0,23370,0,47.2,600,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48100.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48200.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48300.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48400.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
48500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE48500.00,5,1,25.0,1,34.84,6026.0,26.0,2310,1710,4452.25,570,6796.3,570,53451,,0.43333333333333335,CE,28-Apr-2026
48500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48500.00,0,0,0.0,0,0.0,0.0,0.0,41130,0,54.4,16500,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48600.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,28-Apr-2026
48700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48700.00,0,0,0.0,0,0.0,0.0,0.0,900,0,5.15,900,0.0,0,53451,,0.0,PE,28-Apr-2026
48800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE48800.00,1,0,0.0,0,0.0,6266.2,0.0,2310,1710,4109.5,600,6647.5,570,53451,,0.0,CE,28-Apr-2026
48800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48800.00,0,0,0.0,0,0.0,0.0,0.0,2340,0,30.55,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
48900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE48900.00,1,0,0.0,0,0.0,6170.2,0.0,1740,1710,4019.9,570,6558.35,570,53451,,0.0,CE,28-Apr-2026
48900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE48900.00,0,0,0.0,0,0.0,0.0,0.0,2190,0,34.0,30,0.0,0,53451,,0.0,PE,28-Apr-2026
49000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49000.00,0,0,0.0,0,0.0,0.0,0.0,30,1710,4179.05,30,6453.25,570,53451,,0.0,CE,28-Apr-2026
49000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49000.00,0,0,0.0,0,0.0,0.0,0.0,20370,0,75.55,11010,0.0,0,53451,,0.0,PE,28-Apr-2026
49100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49100.00,0,0,0.0,0,0.0,0.0,0.0,870,1710,3551.0,270,6000.6,570,53451,,0.0,CE,28-Apr-2026
49100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49100.00,0,0,0.0,0,0.0,0.0,0.0,2490,0,34.4,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
49200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49200.00,0,0,0.0,0,0.0,0.0,0.0,1140,1710,3456.35,540,6280.9,570,53451,,0.0,CE,28-Apr-2026
49200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49200.00,0,0,0.0,0,0.0,0.0,0.0,2100,0,36.55,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
49300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49300.00,0,0,0.0,0,0.0,0.0,0.0,900,1710,3375.55,300,5968.65,570,53451,,0.0,CE,28-Apr-2026
49300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49300.00,0,0,0.0,0,0.0,0.0,0.0,2100,0,40.2,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
49400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49400.00,0,0,0.0,0,0.0,0.0,0.0,900,1710,3275.45,300,5690.8,570,53451,,0.0,CE,28-Apr-2026
49400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49400.00,0,0,0.0,0,0.0,0.0,0.0,2100,0,44.05,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
49500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49500.00,3,2,200.0,2,31.65,5092.9,-1607.1,2370,1770,3631.35,60,5934.8,60,53451,,-23.986567164179103,CE,28-Apr-2026
49500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49500.00,0,0,0.0,0,0.0,0.0,0.0,22500,0,115.15,13500,0.0,0,53451,,0.0,PE,28-Apr-2026
49600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49600.00,0,0,0.0,0,0.0,0.0,0.0,900,1710,3228.35,300,5608.8,570,53451,,0.0,CE,28-Apr-2026
49600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49600.00,0,0,0.0,0,0.0,0.0,0.0,4500,0,121.7,2400,0.0,0,53451,,0.0,PE,28-Apr-2026
49700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49700.00,0,0,0.0,0,0.0,0.0,0.0,900,1710,3183.8,300,5442.1,570,53451,,0.0,CE,28-Apr-2026
49700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49700.00,0,0,0.0,0,0.0,0.0,0.0,5220,0,131.9,3000,0.0,0,53451,,0.0,PE,28-Apr-2026
49800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49800.00,0,0,0.0,0,0.0,0.0,0.0,930,1710,3082.4,330,5613.75,570,53451,,0.0,CE,28-Apr-2026
49800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49800.00,0,0,0.0,0,0.0,0.0,0.0,5100,0,142.75,3000,0.0,0,53451,,0.0,PE,28-Apr-2026
49900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE49900.00,0,0,0.0,0,0.0,0.0,0.0,930,1710,2984.75,330,5298.1,570,53451,,0.0,CE,28-Apr-2026
49900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE49900.00,0,0,0.0,0,0.0,0.0,0.0,6300,0,154.3,3000,0.0,0,53451,,0.0,PE,28-Apr-2026
50000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50000.00,257,76,41.988950276243095,206,33.33,4800.0,-1203.35,2760,1890,4561.65,60,4799.0,120,53451,,-20.04464174169422,CE,28-Apr-2026
50000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50000.00,0,0,0.0,0,0.0,0.0,0.0,17640,0,173.35,7800,0.0,0,53451,,0.0,PE,28-Apr-2026
50100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50100.00,1,0,0.0,6,36.04,4875.1,-415.0,1500,1710,3026.25,300,5073.25,570,53451,,-7.844842252509404,CE,28-Apr-2026
50100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50100.00,0,0,0.0,0,0.0,0.0,0.0,6330,0,179.65,1200,0.0,0,53451,,0.0,PE,28-Apr-2026
50200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50200.00,0,0,0.0,0,0.0,0.0,0.0,930,1710,2942.75,330,5191.1,570,53451,,0.0,CE,28-Apr-2026
50200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50200.00,0,0,0.0,0,0.0,0.0,0.0,7050,0,193.65,1800,0.0,0,53451,,0.0,PE,28-Apr-2026
50300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50300.00,0,0,0.0,0,0.0,0.0,0.0,960,1710,2868.0,360,5060.55,570,53451,,0.0,CE,28-Apr-2026
50300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50300.00,0,0,0.0,0,0.0,0.0,0.0,6870,0,208.4,1800,0.0,0,53451,,0.0,PE,28-Apr-2026
50400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50400.00,8,7,700.0,11,27.01,4174.95,-2518.9,2310,1710,2861.75,570,4705.7,570,53451,,-37.630063416419546,CE,28-Apr-2026
50400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50400.00,0,0,0.0,0,0.0,0.0,0.0,5730,0,224.1,1800,0.0,0,53451,,0.0,PE,28-Apr-2026
50500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50500.00,10,6,150.0,18,27.16,4106.7,-1381.7,2400,1710,4006.75,30,4636.0,570,53451,,-25.174914364842213,CE,28-Apr-2026
50500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50500.00,10,10,0.0,10,25.81,537.2,519.45,65340,0,537.2,35850,0.0,0,53451,,2926.478873239437,PE,28-Apr-2026
50600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50600.00,22,13,144.44444444444446,27,26.95,4020.8,-1435.9,2310,1770,2671.05,600,4553.0,570,53451,,-26.31443912987703,CE,28-Apr-2026
50600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50600.00,0,0,0.0,0,0.0,0.0,0.0,5610,0,316.85,1710,0.0,0,53451,,0.0,PE,28-Apr-2026
50700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50700.00,30,0,0.0,31,29.95,4109.4,-770.6,690,1770,2672.85,360,4519.35,60,53451,,-15.790983606557377,CE,28-Apr-2026
50700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50700.00,0,0,0.0,0,0.0,0.0,0.0,6300,0,277.1,5340,0.0,0,53451,,0.0,PE,28-Apr-2026
50800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50800.00,2,2,0.0,2,31.12,4104.15,-5101.4,0,1710,0.0,0,4385.8,570,53451,,-55.41656935218428,CE,28-Apr-2026
50800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50800.00,0,0,0.0,0,0.0,0.0,0.0,5700,0,296.75,4200,0.0,0,53451,,0.0,PE,28-Apr-2026
50900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE50900.00,1,0,0.0,0,0.0,6189.4,0.0,1020,1710,2412.75,420,4317.2,570,53451,,0.0,CE,28-Apr-2026
50900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE50900.00,0,0,0.0,0,0.0,0.0,0.0,5760,0,317.4,4200,0.0,0,53451,,0.0,PE,28-Apr-2026
51000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51000.00,629,35,5.892255892255892,299,29.99,3900.0,-1117.45,1410,2760,3831.4,30,3974.85,30,53451,,-22.27127325633539,CE,28-Apr-2026
51000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51000.00,6056,1428,30.855661192739845,10623,28.64,815.8,461.9,3060,6780,800.0,60,812.5,30,53451,,130.51709522463972,PE,28-Apr-2026
51100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51100.00,0,0,0.0,0,0.0,0.0,0.0,1950,1710,2304.35,390,4438.55,570,53451,,0.0,CE,28-Apr-2026
51100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51100.00,0,0,0.0,0,0.0,0.0,0.0,4470,0,438.65,1140,0.0,0,53451,,0.0,PE,28-Apr-2026
51200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51200.00,0,0,0.0,0,0.0,0.0,0.0,0,1710,0.0,0,4328.65,570,53451,,0.0,CE,28-Apr-2026
51200,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51200.00,0,0,0.0,0,0.0,0.0,0.0,4440,0,386.55,3540,0.0,0,53451,,0.0,PE,28-Apr-2026
51300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51300.00,0,0,0.0,0,0.0,0.0,0.0,0,1710,0.0,0,4219.5,570,53451,,0.0,CE,28-Apr-2026
51300,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51300.00,0,0,0.0,0,0.0,0.0,0.0,2070,0,411.95,600,0.0,0,53451,,0.0,PE,28-Apr-2026
51400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51400.00,18,11,157.14285714285714,18,28.84,3557.65,-241.1,0,1710,0.0,0,3968.35,570,53451,,-6.346824613359658,CE,28-Apr-2026
51400,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51400.00,0,0,0.0,0,0.0,0.0,0.0,3900,0,438.65,2400,0.0,0,53451,,0.0,PE,28-Apr-2026
51500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51500.00,95,2,2.150537634408602,24,26.04,3323.0,-1068.85,900,2400,3449.55,30,3618.45,90,53451,,-24.337124446417796,CE,28-Apr-2026
51500,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51500.00,516,282,120.51282051282051,1701,27.81,916.35,507.7,1200,1260,871.1,30,935.4,30,53451,,124.2383457726661,PE,28-Apr-2026
51600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51600.00,0,0,0.0,0,0.0,0.0,0.0,0,1710,0.0,0,3916.75,570,53451,,0.0,CE,28-Apr-2026
51600,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51600.00,0,0,0.0,0,0.0,0.0,0.0,4410,0,593.15,1140,0.0,0,53451,,0.0,PE,28-Apr-2026
51700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51700.00,5,0,0.0,0,0.0,3521.95,0.0,0,1710,0.0,0,3703.35,570,53451,,0.0,CE,28-Apr-2026
51700,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51700.00,0,0,0.0,0,0.0,0.0,0.0,3240,0,526.75,2340,0.0,0,53451,,0.0,PE,28-Apr-2026
51800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51800.00,0,0,0.0,0,0.0,0.0,0.0,0,1710,0.0,0,3707.05,570,53451,,0.0,CE,28-Apr-2026
51800,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51800.00,0,0,0.0,0,0.0,0.0,0.0,5580,0,558.9,1800,0.0,0,53451,,0.0,PE,28-Apr-2026
51900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE51900.00,0,0,0.0,0,0.0,0.0,0.0,0,1710,0.0,0,3619.1,570,53451,,0.0,CE,28-Apr-2026
51900,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE51900.00,0,0,0.0,0,0.0,0.0,0.0,6810,0,703.25,630,0.0,0,53451,,0.0,PE,28-Apr-2026
52000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE52000.00,521,-125,-19.34984520123839,600,28.99,3174.9,-1079.6,1200,2730,3071.8,30,3224.45,30,53451,,-25.375484780820308,CE,28-Apr-2026
52000,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026PE52000.00,2472,-135,-5.178365937859609,7485,26.87,1022.85,547.0,1860,1860,1006.55,60,1060.8,60,53451,,114.95219081643376,PE,28-Apr-2026
52100,28-04-2026,BANKNIFTY,OPTIDXBANKNIFTY28-04-2026CE52100.00,20,0,0.0,0,0.0,4150.0,0.0,0,1860,0.0,0,3503.3,720,53451,,0.0,CE,28-Apr-2026
