strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
46500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE46500.00,0.0,0.0,0.0,0,0.0,0.0,0.0,2460,2460,6120.7,150,7537.9,150,53451,,0.0,CE,30-Mar-2026
46500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE46500.00,17888.0,117.0,0.6583760058522312,59901,42.76,39.05,18.05,32550,30000,39.05,150,41.0,30,53451,,85.95238095238095,PE,30-Mar-2026
47000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE47000.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1890,2460,5733.2,150,8011.3,150,53451,,0.0,CE,30-Mar-2026
47000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE47000.00,3997.0,1306.0,48.5321441843181,17980,42.47,54.6,28.85,10680,2040,50.45,90,56.0,30,53451,,112.03883495145631,PE,30-Mar-2026
47500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE47500.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1890,1710,5227.3,150,7169.8,570,53451,,0.0,CE,30-Mar-2026
47500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE47500.00,0.0,0.0,0.0,0,0.0,0.0,0.0,61560,0,20.05,43050,0.0,0,53451,,0.0,PE,30-Mar-2026
48000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE48000.00,213.5,-20.0,-8.565310492505354,24,44.35,5727.1,-1107.2,3210,3330,5009.2,1170,6015.75,210,53451,,-16.200635032117408,CE,30-Mar-2026
48000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48000.00,15561.0,-726.0,-4.457542825566403,57032,39.37,76.95,44.35,18930,8220,76.95,90,80.0,60,53451,,136.04294478527606,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48100,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48100.00,0.0,0.0,0.0,0,0.0,0.0,0.0,11400,0,20.05,10500,0.0,0,53451,,0.0,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48200,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48200.00,0.0,0.0,0.0,0,0.0,0.0,0.0,11400,0,20.05,10500,0.0,0,53451,,0.0,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48300,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48300.00,0.0,0.0,0.0,0,0.0,0.0,0.0,23460,0,20.05,22560,0.0,0,53451,,0.0,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48400,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48400.00,0.0,0.0,0.0,0,0.0,0.0,0.0,13410,0,20.05,12510,0.0,0,53451,,0.0,PE,30-Mar-2026
48500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE48500.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1890,1710,4524.9,150,5781.1,570,53451,,0.0,CE,30-Mar-2026
48500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48500.00,211.0,211.0,0.0,226,28.53,20.05,16.1,196890,0,20.05,192990,0.0,0,53451,,407.59493670886076,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48600,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48600.00,0.0,0.0,0.0,0,0.0,0.0,0.0,32580,0,20.05,31680,0.0,0,53451,,0.0,PE,30-Mar-2026
0,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,,0.0,CE,30-Mar-2026
48700,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48700.00,0.0,0.0,0.0,0,0.0,0.0,0.0,29640,0,20.05,28560,0.0,0,53451,,0.0,PE,30-Mar-2026
48800,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE48800.00,0.0,0.0,0.0,0,0.0,0.0,0.0,2460,1710,4350.65,150,5724.45,570,53451,,0.0,CE,30-Mar-2026
48800,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48800.00,0.0,0.0,0.0,0,0.0,0.0,0.0,53190,0,20.05,35550,0.0,0,53451,,0.0,PE,30-Mar-2026
48900,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE48900.00,0.0,0.0,0.0,0,0.0,0.0,0.0,2490,1710,4270.55,180,5612.2,570,53451,,0.0,CE,30-Mar-2026
48900,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE48900.00,0.0,0.0,0.0,0,0.0,0.0,0.0,42000,0,20.05,37020,0.0,0,53451,,0.0,PE,30-Mar-2026
49000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49000.00,9.0,2.0,28.571428571428573,3,0.0,4550.0,-500.0,3150,2820,4694.25,30,5040.95,210,53451,,-9.900990099009901,CE,30-Mar-2026
49000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49000.00,5638.0,3742.0,197.36286919831224,47575,36.99,120.0,77.6,14190,5010,117.3,150,125.0,60,53451,,183.0188679245283,PE,30-Mar-2026
49100,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49100.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1650,1710,4173.6,150,5424.65,570,53451,,0.0,CE,30-Mar-2026
49100,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49100.00,0.0,0.0,0.0,0,0.0,0.0,0.0,94830,0,20.55,85860,0.0,0,53451,,0.0,PE,30-Mar-2026
49200,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49200.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1560,1710,4055.4,150,5068.85,570,53451,,0.0,CE,30-Mar-2026
49200,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49200.00,0.0,0.0,0.0,0,0.0,0.0,0.0,68580,0,21.7,36000,0.0,0,53451,,0.0,PE,30-Mar-2026
49300,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49300.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1650,1710,3991.8,150,4941.3,570,53451,,0.0,CE,30-Mar-2026
49300,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49300.00,0.0,0.0,0.0,0,0.0,0.0,0.0,73470,0,23.0,53010,0.0,0,53451,,0.0,PE,30-Mar-2026
49400,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49400.00,0.0,0.0,0.0,0,0.0,0.0,0.0,1590,1710,2861.15,600,5072.45,570,53451,,0.0,CE,30-Mar-2026
49400,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49400.00,0.0,0.0,0.0,0,0.0,0.0,0.0,82140,0,23.25,53010,0.0,0,53451,,0.0,PE,30-Mar-2026
49500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE49500.00,127.0,-20.0,-13.605442176870747,46,45.69,4435.2,-371.75,2970,3090,4323.35,30,4422.05,90,53451,,-7.733594066923933,CE,30-Mar-2026
49500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE49500.00,12527.0,1719.0,15.904885270170244,40167,35.52,145.9,96.15,10080,4950,146.05,30,152.0,300,53451,,193.26633165829145,PE,30-Mar-2026
