strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,07-Apr-2026
20850,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE20850.00,0,0,0.0,0,0.0,0.0,0.0,10855,0,20.05,4420,0.0,0,23002.15,,0.0,PE,07-Apr-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,07-Apr-2026
20900,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE20900.00,0,0,0.0,0,0.0,0.0,0.0,19695,0,20.05,13260,0.0,0,23002.15,,0.0,PE,07-Apr-2026
20950,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026CE20950.00,1,0,0.0,0,0.0,2524.1,0.0,3380,3380,1776.4,1690,2759.9,1690,23002.15,,0.0,CE,07-Apr-2026
20950,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE20950.00,0,0,0.0,0,0.0,0.0,0.0,31460,0,20.05,12415,0.0,0,23002.15,,0.0,PE,07-Apr-2026
21000,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026CE21000.00,13,0,0.0,1,36.68,2225.0,-24.0,1755,3510,2000.0,65,2226.0,65,23002.15,,-1.0671409515340151,CE,07-Apr-2026
21000,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE21000.00,6,6,0.0,6,24.24,20.05,20.0,150280,0,20.05,131885,0.0,0,23002.15,,40000.0,PE,07-Apr-2026
21050,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026CE21050.00,1,0,0.0,0,0.0,2364.6,0.0,3380,3380,1722.3,1690,2452.8,1690,23002.15,,0.0,CE,07-Apr-2026
21050,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE21050.00,0,0,0.0,0,0.0,0.0,0.0,29055,0,20.05,19370,0.0,0,23002.15,,0.0,PE,07-Apr-2026
21100,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026CE21100.00,1,0,0.0,0,0.0,2362.7,0.0,3380,3380,1665.0,1690,2538.2,1690,23002.15,,0.0,CE,07-Apr-2026
21100,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026PE21100.00,0,0,0.0,0,0.0,0.0,0.0,43225,0,20.05,28990,0.0,0,23002.15,,0.0,PE,07-Apr-2026
21150,07-04-2026,NIFTY,OPTIDXNIFTY07-04-2026CE21150.00,1,0,0.0,0,0.0,2186.3,0.0,3380,3380,1632.45,1690,2484.45,1690,23002.15,,0.0,CE,07-Apr-2026
