strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,24-Mar-2026
20850,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE20850.00,28764,28764,0.0,92467,41.88,8.35,8.3,780390,227435,8.3,975,8.35,6175,23002.15,,16600.0,PE,24-Mar-2026
0,,,,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,,0.0,CE,24-Mar-2026
20900,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE20900.00,10548,10548,0.0,70314,41.43,8.9,8.85,570310,31005,8.75,1755,8.9,1300,23002.15,,17700.0,PE,24-Mar-2026
20950,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE20950.00,1,0,0.0,0,0.0,2515.15,0.0,4940,4940,2099.0,780,2206.1,780,23002.15,,0.0,CE,24-Mar-2026
20950,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE20950.00,75308,-522,-0.6883819068970065,267014,41.01,9.55,5.8,334945,65455,9.45,325,9.55,1365,23002.15,,154.66666666666666,PE,24-Mar-2026
21000,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE21000.00,6,1,20.0,13,0.0,1986.45,-849.15,5070,5265,2071.7,780,2139.65,780,23002.15,,-29.946043165467625,CE,24-Mar-2026
21000,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE21000.00,134100,22011,19.63707411075128,607970,40.24,9.7,5.9,1409265,98800,9.7,1560,10.05,1430,23002.15,,155.26315789473685,PE,24-Mar-2026
21050,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE21050.00,1,0,0.0,0,0.0,2383.0,-4.75,4940,4940,1993.35,780,2106.5,780,23002.15,,-0.1989320490001047,CE,24-Mar-2026
21050,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE21050.00,4703,2772,143.55256343863283,72291,39.69,10.2,6.15,232700,16770,10.25,1820,10.55,1755,23002.15,,151.85185185185185,PE,24-Mar-2026
21100,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE21100.00,1,0,0.0,0,0.0,2334.15,-4.75,4940,4940,1946.1,780,2058.9,780,23002.15,,-0.20308692120227456,CE,24-Mar-2026
21100,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE21100.00,8060,2857,54.91062848356717,108584,39.26,10.95,6.7,155285,29705,10.7,1300,10.95,845,23002.15,,157.64705882352942,PE,24-Mar-2026
